OID_,created_date,last_edited_date,ROADSEGID,SUB_TYPE,FNODE,TNODE,LENGTH,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Length
683,2/1/1989 0:00:00,10/26/2018 9:12:09,90011,,154293,154290,45.048371969999998,27078,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,12790,12798,CN,12791,12799,N,N,N,12790,12799,1844474.975000000093132,6357912.277999999932945,45,91978,91978,CN,CN,2,N,Y,3003,3003,21306,21306,625,625,6357912.277999999932945,1844474.975000000093132,6357934.523000000044703,1844480.818999999901280,6357955.848000000230968,1844486.421000000089407,1,1,20370,20370,,CAMPO,RD,CAMPO RD,,CAMPO,RD,,CAMPO RD,45.048133627529616
684,4/1/1980 0:00:00,5/8/2019 14:16:07,28964,,114611,114613,191.041880230000004,129497,150,4/1/1980 0:00:00,M,D,6,B,0,2,IB,1000,1048,IB,1001,1049,N,N,N,1000,1049,1793328.000000000000000,6296182.000000000000000,35,91932,91932,IB,IB,2,N,Y,3026,3026,10502,10502,702,702,6296182.000000000000000,1793328.000000000000000,6296277.979000000283122,1793325.989999999990687,6296373.000000000000000,1793324.000000000000000,1,1,30280,20090,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,191.041826157128014
685,1/10/1996 0:00:00,2/19/2019 9:02:03,140191,,178149,178147,91.765952519999999,104195,0,1/10/1996 0:00:00,M,D,6,F,0,2,OC,976,998,OC,975,999,N,N,N,975,999,2019889.935000000055879,6215078.946999999694526,45,92054,92054,OC,OC,2,N,Y,2009,2009,18615,18615,6,6,6215078.946999999694526,2019889.935000000055879,6215087.521999999880791,2019935.128999999957159,6215096.053000000305474,2019980.093000000109896,1,1,10110,10110,,SR-76 EB,,SR-76 EB,,STATE ROUTE 76 EB,,,STATE ROUTE 76 EB,91.766066606331719
686,12/1/1989 0:00:00,7/14/2016 11:44:25,83930,,10220,10221,155.000000000000000,25702,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,250,258,CN,251,259,N,N,N,250,259,2036979.000000000000000,6516567.000000000000000,45,92004,92004,CN,CN,3,N,Y,1047,1001,21002,21001,842,842,6516567.000000000000000,2036979.000000000000000,6516645.000000000000000,2036979.000000000000000,6516722.000000000000000,2036979.000000000000000,1,1,20930,30080,,PALM CANYON,DR,PALM CANYON DR,,PALM CANYON,DR,,PALM CANYON DR,155.000018075108528
687,2/1/1989 0:00:00,12/18/2008 9:56:50,86228,,1559,1444,1039.856768879999890,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,37800,37898,CN,37801,37899,N,N,N,37800,37899,2088455.000000000000000,6394029.000000000000000,50,92536,92536,CN,CN,2,N,Y,1012,3027,20903,20903,820,820,6394029.000000000000000,2088455.000000000000000,6393699.860000000335276,2088856.720999999903142,6393328.000000000000000,2089220.000000000000000,1,1,12240,34190,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,1039.856814786747691
688,2/1/1989 0:00:00,12/18/2008 9:57:03,86216,,1444,1056,4946.075768489999973,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,37900,38378,CN,37901,38379,N,N,N,37900,38379,2089220.000000000000000,6393328.000000000000000,50,92536,92536,CN,CN,2,N,Y,1012,3027,20903,20903,820,820,6393328.000000000000000,2089220.000000000000000,6391539.548999999649823,2090926.404000000096858,6389630.000000000000000,2092483.999000000068918,1,1,12240,30140,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,4946.075665589348318
689,12/1/1989 0:00:00,9/15/2015 9:28:01,90565,,97007,96299,1775.413998730000003,27209,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,32224,32498,CN,32225,32499,N,N,N,32224,32499,1841258.512000000104308,6499599.970999999903142,45,91906,91906,CN,CN,3,N,Y,2001,2002,21101,21101,853,853,6499599.970999999903142,1841258.512000000104308,6500322.047000000253320,1841765.049000000115484,6500992.000000000000000,1842347.000000000000000,1,1,30170,30040,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,1775.413743833869376
690,4/1/1980 0:00:00,7/14/2016 11:57:22,15094,,51592,51415,485.322764440000014,4721,0,4/1/1980 0:00:00,M,D,6,B,0,2,DM,1500,1538,DM,1501,1539,N,N,N,1500,1539,1930462.000000000000000,6250256.000000000000000,25,92014,92014,DM,DM,3,N,Y,2006,2002,17201,17202,292,293,6250256.000000000000000,1930462.000000000000000,6250249.987999999895692,1930704.729999999981374,6250255.000000000000000,1930947.000999999931082,1,1,30070,40030,,CAM DEL MAR,,CAM DEL MAR,,CAMINO DEL MAR,,,CAMINO DEL MAR,485.322765992991094
691,2/1/1989 0:00:00,5/9/2019 6:55:59,90549,,69139,69209,146.255166019999990,27209,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,28790,28798,CN,28791,28799,N,N,N,28790,28799,1879372.000000000000000,6475273.000000000000000,35,91962,91962,CN,CN,3,N,Y,2016,2023,20902,20902,852,852,6475273.000000000000000,1879372.000000000000000,6475318.839999999850988,1879315.192999999970198,6475367.000000000000000,1879260.000000000000000,1,1,20190,20240,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,146.255126956104647
692,4/1/1980 0:00:00,7/14/2016 11:53:57,28701,,2825,2826,270.016861430000006,7582,0,4/1/1980 0:00:00,M,D,6,B,0,2,CN,1300,1334,CN,1301,1335,N,N,N,1300,1335,2082045.000000000000000,6261896.000000000000000,35,92028,92028,CN,CN,3,N,Y,4000,4000,18904,18905,385,382,6261896.000000000000000,2082045.000000000000000,6262030.990000000223517,2082043.351000000024214,6262166.000000000000000,2082042.000000000000000,1,1,40000,30000,E,FALLBROOK,ST,E FALLBROOK ST,E,FALLBROOK,ST,,E FALLBROOK ST,270.016977020283775
693,2/1/1989 0:00:00,12/18/2008 10:01:11,86319,,657,645,120.615090289999998,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,39450,39458,CN,39451,39459,N,N,N,39450,39459,2098041.000000000000000,6383415.000000000000000,50,92536,92536,CN,CN,2,N,Y,1000,3027,20903,20903,820,820,6383415.000000000000000,2098041.000000000000000,6383369.235000000335276,2098079.800999999977648,6383323.000000000000000,2098119.000000000000000,1,1,10190,30260,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,120.615099306459058
694,2/1/1989 0:00:00,12/15/2008 12:36:50,130291,,12519,13042,1436.440573480000012,44006,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,26100,26198,CN,26101,26199,N,N,N,26100,26199,2029842.000000000000000,6405288.998999999836087,50,92070,92070,CN,CN,2,N,Y,1082,2054,20903,20903,820,827,6405288.998999999836087,2029842.000000000000000,6405686.968000000342727,2029247.492000000085682,6405874.000000000000000,2028557.999000000068918,1,1,11940,20150,,SR-76,,SR-76,,STATE ROUTE 76,,,STATE ROUTE 76,1436.440615410326473
695,2/1/1989 0:00:00,12/15/2008 12:37:05,129646,,13042,13112,143.072444090000005,44006,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,26200,26208,CN,26201,26209,N,N,N,26200,26209,2028557.999000000068918,6405874.000000000000000,50,92070,92070,CN,CN,2,N,Y,1082,2054,20903,20903,820,827,6405874.000000000000000,2028557.999000000068918,6405882.184999999590218,2028486.523999999975786,6405891.000000000000000,2028416.000000000000000,1,1,11940,20150,,SR-76,,SR-76,,STATE ROUTE 76,,,STATE ROUTE 76,143.072448932337494
696,2/1/1989 0:00:00,12/18/2008 9:52:35,86244,,4376,4295,656.527006369999981,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,35400,35498,CN,35401,35499,N,N,N,35400,35499,2073544.000000000000000,6410523.000000000000000,50,92086,92086,CN,CN,2,N,Y,1018,3018,20903,20903,820,820,6410523.000000000000000,2073544.000000000000000,6410479.978000000119209,2073869.165999999968335,6410438.000000000000000,2074195.000000000000000,1,1,10940,33770,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,656.527036613273481
697,2/1/1989 0:00:00,7/14/2016 11:51:58,90921,,9214,9260,263.326793169999974,27287,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,25510,25518,CN,25511,25519,N,N,N,25510,25519,2040874.000000000000000,6400142.000000000000000,35,92060,92060,CN,CN,4,N,Y,1075,1075,20903,20903,803,803,6400142.000000000000000,2040874.000000000000000,6400207.166000000201166,2040759.206999999936670,6400272.000000000000000,2040645.000000000000000,1,1,11890,11880,,EAST GRADE,RD,EAST GRADE RD,,EAST GRADE,RD,,EAST GRADE RD,263.326551826333855
698,2/1/1989 0:00:00,4/8/2010 13:47:33,86317,,8156,8099,456.647207139999978,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,31636,31656,CN,31637,31657,N,N,N,31636,31657,2047112.000000000000000,6444139.000000000000000,50,92086,92086,CN,CN,2,N,Y,1070,3068,20903,20903,820,820,6444139.000000000000000,2047112.000000000000000,6444031.771999999880791,2047312.465000000083819,6443874.000000000000000,2047477.000000000000000,1,1,11420,30460,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,456.647247843198386
699,12/1/1989 0:00:00,7/14/2016 11:53:59,84063,,36605,36750,623.443368429999964,25708,102,12/1/1989 0:00:00,M,D,6,B,0,2,CN,7001,7023,CN,7000,7022,N,N,N,7000,7023,1975144.000000000000000,6500894.000000000000000,45,92036,92036,CN,CN,3,N,Y,3017,3049,21001,21001,843,843,6500894.000000000000000,1975144.000000000000000,6501099.199000000022352,1974909.081999999936670,6501308.000000000000000,1974678.000000000000000,1,1,11650,11420,,GREAT STHRN OVRLND S,,GREAT STHRN OVRLND S,,GREAT STHRN OVERLAND STAGE RT,,,GREAT STHRN OVERLAND STAGE RT,623.443303286164223
700,,7/14/2016 11:53:51,87251,,60012,59923,324.505631470000026,26645,0,,M,D,6,B,0,2,CN,10600,10638,CN,10601,10639,N,N,N,10600,10639,1894695.000999999931082,6509362.000000000000000,20,91948,91948,CN,CN,3,N,Y,1063,1072,20902,20902,852,855,6509362.000000000000000,1894695.000999999931082,6509435.438000000081956,1894839.189999999944121,6509529.000000000000000,1894972.000000000000000,1,1,12740,12830,,SUNRISE,HY,SUNRISE HY,,SUNRISE,HWY,,SUNRISE HWY,324.505699676760912
701,12/1/1989 0:00:00,7/14/2016 11:47:45,90606,,110980,110501,2126.643477879999864,27209,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,47300,47598,CN,47301,47599,N,N,N,47300,47599,1808432.999000000068918,6598606.000000000000000,45,91934,91934,CN,CN,3,N,Y,2003,2004,21102,21102,886,886,6598606.000000000000000,1808432.999000000068918,6599469.239000000059605,1809053.311999999918044,6600333.000000000000000,1809674.000000000000000,1,1,41200,41210,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,2126.643677752342228
702,12/1/1989 0:00:00,9/3/2020 11:58:11,90522,,105675,105684,275.000261679999994,27209,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,39400,39478,CN,39401,39479,N,N,N,39400,39479,1822884.000000000000000,6546292.000000000000000,45,91905,91905,CN,CN,2,N,Y,1126,1125,21102,21102,884,884,6546292.000000000000000,1822884.000000000000000,6546428.747000000439584,1822865.591000000014901,6546565.338999999687076,1822855.281999999890104,1,1,23980,24350,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,275.000261256679607
703,12/1/1989 0:00:00,9/3/2020 11:58:11,136835,,105684,105685,210.731713149999990,27209,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,39480,39498,CN,39481,39499,N,N,N,39480,39499,1822855.281999999890104,6546565.338999999687076,45,91905,91905,CN,CN,2,N,Y,1126,1125,21102,21102,884,884,6546565.338999999687076,1822855.281999999890104,6546670.299999999813735,1822852.780000000027940,6546776.000000000000000,1822855.000000000000000,1,1,23980,24090,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,210.731708386354057
704,12/1/1989 0:00:00,9/15/2015 9:36:16,90515,,105578,105604,385.418055700000025,27209,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,39100,39248,CN,39101,39249,N,N,N,39100,39249,1823157.004999999888241,6544715.000000000000000,45,91905,91905,CN,CN,3,N,Y,1126,1140,21102,21102,884,884,6544715.000000000000000,1823157.004999999888241,6544905.146999999880791,1823123.942000000039116,6545094.720999999903142,1823090.982000000076368,1,1,23970,23180,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,OLD HIGHWAY 80,,,OLD HIGHWAY 80,385.418051650877203
705,,7/14/2016 11:49:11,84039,,51544,52450,2558.975139589999799,25708,100,,M,D,6,B,0,2,CN,39270,39528,CN,39271,39529,N,N,N,39270,39529,1930602.818999999901280,6544812.861999999731779,45,92036,92036,CN,CN,3,N,Y,3017,3039,21001,21001,849,849,6544812.861999999731779,1930602.818999999901280,6545574.383999999612570,1929583.642999999923632,6545772.000000000000000,1928363.000000000000000,1,1,12440,12450,,GREAT STHRN OVRLND S,,GREAT STHRN OVRLND S,,GREAT STHRN OVERLAND STAGE RT,,,GREAT STHRN OVERLAND STAGE RT,2558.975148774978607
706,12/1/1989 0:00:00,8/4/2017 10:46:57,118239,,109072,108840,1417.980415369999946,40808,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,33500,33688,CN,33501,33689,N,N,N,33500,33689,1813228.000000000000000,6506832.000000000000000,50,91906,91906,CN,CN,2,N,Y,3052,3052,21101,21101,881,882,6506832.000000000000000,1813228.000000000000000,6507373.148000000044703,1813685.530999999959022,6508060.000000000000000,1813833.000000000000000,1,1,31080,31360,,SR-94,,SR-94,,STATE ROUTE 94,,,STATE ROUTE 94,1417.980694836834118
707,2/1/1989 0:00:00,7/14/2016 11:51:33,91383,,3085,3027,267.589237449999985,27384,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,36500,36598,CN,36501,36599,N,N,N,36500,36599,2080746.000000000000000,6308488.000000000000000,45,92059,92059,CN,CN,3,N,Y,2029,2028,19108,19108,804,804,6308488.000000000000000,2080746.000000000000000,6308442.930999999865890,2080872.192999999970198,6308398.000000000000000,2080998.000000000000000,1,1,40430,40420,,PALA TEMECULA,RD,PALA TEMECULA RD,,PALA TEMECULA,RD,,PALA TEMECULA RD,267.589430564531028
708,2/1/1989 0:00:00,8/17/2020 10:49:09,76819,,3847,3863,1021.457389469999953,44006,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,11970,12503,CN,11971,12504,N,N,N,11970,12504,2077152.087999999988824,6312538.336000000126660,45,92059,92059,CN,CN,2,N,Y,1028,1028,19108,19108,804,804,6312538.336000000126660,2077152.087999999988824,6313047.723000000230968,2077111.861999999964610,6313556.422000000253320,2077069.541999999899417,1,1,12130,12130,,SR-76,,SR-76,,STATE ROUTE 76,,,STATE ROUTE 76,1021.457205423648020
709,,6/1/2016 15:03:02,23606,,51086,51084,17.766344499999999,103073,0,,M,D,6,F,0,2,SD,0,0,SD,0,0,N,N,N,0,0,1931811.000000000000000,6302244.000000000000000,45,92129,92129,SD,SD,1,N,Y,2000,2000,17018,17018,233,233,6302244.000000000000000,1931811.000000000000000,6302252.748999999836087,1931808.889999999897555,6302261.270999999716878,1931806.834000000031665,2,2,20000,20030,,SR-56 EB,,SR-56 EB,,STATE ROUTE 56 EB,,,STATE ROUTE 56 EB,17.766308882263374
710,4/1/1980 0:00:00,7/14/2016 11:36:41,12788,,49027,49025,120.757514689999994,4231,0,4/1/1980 0:00:00,M,D,6,B,0,2,SD,4710,4718,SD,4711,4719,N,N,N,4710,4719,1939005.845999999903142,6262883.371000000275671,45,92014,92014,SD,SD,3,N,Y,1024,2014,17106,17061,935,935,6262883.371000000275671,1939005.845999999903142,6262943.256000000052154,1939009.560000000055879,6263003.896999999880791,1939013.320000000065193,1,1,10490,20420,,VIA DE LA VALLE,,VIA DE LA VALLE,,VIA DE LA VALLE,,,VIA DE LA VALLE,120.757524464618314
711,2/1/1989 0:00:00,10/26/2018 9:12:07,90012,,94845,94671,389.372061149999979,27078,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,12830,12848,CN,12831,12849,N,N,N,12830,12849,1844608.000000000000000,6358189.998999999836087,45,91978,91978,CN,CN,2,N,Y,2023,3003,21305,21306,625,625,6358189.998999999836087,1844608.000000000000000,6358340.741999999620020,1844731.699999999953434,6358491.000000000000000,1844855.000000000000000,1,1,20510,20350,,CAMPO,RD,CAMPO RD,,CAMPO,RD,,CAMPO RD,389.371985601699350
712,6/1/1985 0:00:00,9/15/2015 10:04:00,36473,,28443,28197,542.048145070000032,9181,0,6/1/1985 0:00:00,M,D,6,B,0,2,ES,1301,1319,ES,1300,1318,N,N,N,1300,1319,1994930.000000000000000,6303520.000000000000000,45,92026,92026,ES,ES,3,N,Y,1001,1000,20308,20108,43,41,6303520.000000000000000,1994930.000000000000000,6303523.273000000044703,1995200.976999999955297,6303527.001000000163913,1995472.000000000000000,1,1,10000,10010,N,CENTRE CITY,PY,N CENTRE CITY PY,N,CENTRE CITY,PKY,,N CENTRE CITY PKY,542.048044917348079
713,,9/16/2025 15:42:07,165185,,154833,14659,1868.022664670000040,104194,0,,M,D,6,F,0,2,OC,0,0,OC,0,0,N,N,N,0,0,2025554.594999999972060,6228800.592000000178814,50,92058,92058,OC,OC,1,N,Y,1012,1013,18616,18616,16,16,6228800.592000000178814,2025554.594999999972060,6227934.492999999783933,2025205.058999999891967,6227070.262000000104308,2024850.800000000046566,2,1,10120,10130,,SR-76 WB,,SR-76 WB,,STATE ROUTE 76 WB,,,STATE ROUTE 76 WB,1995.425459464242522
714,,9/15/2015 10:11:45,157110,,10557,10345,1983.059852300000102,104195,0,,M,D,4,F,0,2,OC,5460,5598,OC,5461,5599,N,N,N,5460,5599,2035920.575999999884516,6249529.644999999552965,50,92057,92057,OC,OC,1,N,Y,2000,2000,19303,19303,22,23,6249529.644999999552965,2035920.575999999884516,6250443.122999999672174,2036307.379999999888241,6251354.770999999716878,2036694.590000000083819,1,1,10600,10600,,SR-76 EB,,SR-76 EB,,STATE ROUTE 76 EB,,,STATE ROUTE 76 EB,1983.060099223045427
715,12/1/1989 0:00:00,9/15/2015 10:00:23,135526,,10211,10210,617.372799030000010,25702,0,12/1/1989 0:00:00,M,D,6,B,0,2,CN,120,198,CN,121,199,N,N,N,120,199,2036981.388000000035390,6515370.627999999560416,45,92004,92004,CN,CN,5,N,Y,1043,1010,21002,21002,842,842,6515370.627999999560416,2036981.388000000035390,6515679.627000000327826,2036982.000000000000000,6515988.000000000000000,2036982.000000000000000,1,1,20430,21170,,PALM CANYON,DR,PALM CANYON DR,,PALM CANYON,DR,,PALM CANYON DR,617.372923545867025
716,2/1/1989 0:00:00,3/22/2017 8:07:45,86232,,1715,1672,240.749998959999999,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,37540,37548,CN,37541,37549,N,N,N,37540,37549,2087400.000999999931082,6394559.000000000000000,50,92536,92536,CN,CN,2,N,Y,1012,3029,20903,20903,820,820,6394559.000000000000000,2087400.000999999931082,6394509.156000000424683,2087509.158999999985099,6394459.000000000000000,2087619.000000000000000,1,1,12270,34200,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,240.749966507060094
717,2/1/1989 0:00:00,12/18/2008 9:55:00,86235,,2264,2305,918.346714479999946,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,37280,37342,CN,37281,37343,N,N,N,37280,37343,2084456.000000000000000,6399576.000000000000000,50,92536,92536,CN,CN,2,N,Y,1024,3029,20903,20903,820,820,6399576.000000000000000,2084456.000000000000000,6399123.671000000089407,2084378.030000000027940,6398671.000000000000000,2084300.000999999931082,1,1,10590,34040,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,918.346552763626050
718,2/1/1989 0:00:00,6/10/2009 14:49:09,16962,,39280,38917,1419.795018470000059,43819,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,24030,24098,CN,24031,24099,N,N,N,24030,24099,1967829.000000000000000,6389955.000000000000000,45,92065,92065,CN,CN,2,N,Y,1012,2011,20807,20807,431,436,6389955.000000000000000,1967829.000000000000000,6390391.446000000461936,1968355.144000000087544,6390686.358000000007451,1968870.398000000044703,1,1,10280,11050,,SR-78,,SR-78,,STATE ROUTE 78,,,STATE ROUTE 78,1419.794781612589986
719,2/1/1989 0:00:00,5/4/2021 11:47:46,84008,,37140,37120,58.523775149999999,43819,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,3931,3939,CN,3930,3938,N,N,N,3930,3939,1973562.000000000000000,6440538.000000000000000,50,92070,92036,CN,CN,2,N,Y,4016,4008,20904,20904,832,832,6440538.000000000000000,1973562.000000000000000,6440522.197999999858439,1973586.317000000039116,6440506.000000000000000,1973611.000000000000000,1,1,10370,10300,,SR-78,,SR-78,,STATE ROUTE 78,,,STATE ROUTE 78,58.523658109871619
720,2/1/1989 0:00:00,3/22/2017 7:53:54,86255,,67506,66094,2104.413336799999797,26390,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,7920,8018,CN,7921,8019,N,N,N,7920,8019,1881852.000000000000000,6446747.000000000000000,50,91901,91901,CN,CN,2,N,Y,1058,2000,21202,21202,850,852,6446747.000000000000000,1881852.000000000000000,6447136.366999999620020,1882828.436999999918044,6447551.000000000000000,1883782.000000000000000,1,1,10740,20140,,SR-79,,SR-79,,STATE ROUTE 79,,,STATE ROUTE 79,2104.413416094954755
721,4/1/1980 0:00:00,7/14/2016 11:41:43,28703,,2828,2829,121.126542439999994,7582,0,4/1/1980 0:00:00,M,D,6,B,0,2,CN,1370,1378,CN,1371,1379,N,N,N,1370,1379,2082040.049000000115484,6262390.877999999560416,35,92028,92028,CN,CN,3,N,Y,4000,4000,18904,18905,385,382,6262390.877999999560416,2082040.049000000115484,6262451.876000000163913,2082039.520999999949709,6262512.000000000000000,2082039.000000000000000,1,1,40000,30000,E,FALLBROOK,ST,E FALLBROOK ST,E,FALLBROOK,ST,,E FALLBROOK ST,121.126677340739349
722,4/1/1980 0:00:00,7/14/2016 11:37:02,135388,,2960,2998,244.639211960000011,6005,0,4/1/1980 0:00:00,M,D,6,B,0,2,CN,920,998,CN,921,999,N,N,N,920,999,2081403.629999999888241,6255281.122999999672174,45,92028,92028,CN,CN,3,N,Y,2002,1000,18905,18905,382,381,6255281.122999999672174,2081403.629999999888241,6255280.064000000245869,2081281.635000000009313,6255279.000000000000000,2081159.000000000000000,1,1,20020,10000,S,MISSION,RD,S MISSION RD,S,MISSION,RD,,S MISSION RD,244.639297512857524
723,4/1/1980 0:00:00,7/14/2016 11:36:03,11220,,26962,26791,429.424032860000011,3878,0,4/1/1980 0:00:00,M,D,6,B,0,2,ES,3000,3038,ES,3001,3039,N,N,N,3000,3039,1998091.000000000000000,6321475.000000000000000,35,92027,92027,ES,ES,3,N,Y,1001,3000,20210,20712,46,56,6321475.000000000000000,1998091.000000000000000,6321590.655000000260770,1998272.243000000016764,6321706.000000000000000,1998453.000000000000000,1,1,10070,40000,E,VALLEY,PY,E VALLEY PY,E,VALLEY,PKY,,E VALLEY PKY,429.424180215070180
724,,2/1/2017 13:21:10,131585,,110954,110952,208.420503950000011,14556,0,,M,D,6,F,0,2,CO,0,0,CO,0,0,N,N,N,0,0,1808497.000000000000000,6288477.000000000000000,30,92118,92118,CO,CO,2,N,Y,1002,1002,10601,10601,3,3,6288477.000000000000000,1808497.000000000000000,6288382.016999999992549,1808460.756000000052154,6288287.000000000000000,1808498.000000000000000,1,1,10060,10050,,SILVER STRAND,BL,SILVER STRAND BL,,SILVER STRAND,BLVD,,SILVER STRAND BLVD,208.420611587332701
725,6/1/1985 0:00:00,9/15/2015 9:29:59,21481,,10749,10706,213.242251519999996,13752,0,6/1/1985 0:00:00,M,D,6,B,0,2,CN,1110,1138,CN,1111,1139,N,N,N,1110,1139,2035250.999000000068918,6263177.000000000000000,45,92084,92084,CN,CN,3,N,Y,2003,2023,19209,19209,324,325,6263177.000000000000000,2035250.999000000068918,6263263.803999999538064,2035313.530999999959022,6263349.000000000000000,2035377.000000000000000,1,1,10180,10250,,GOPHER CANYON,RD,GOPHER CANYON RD,,GOPHER CANYON,RD,,GOPHER CANYON RD,213.242273978979853
726,4/1/1980 0:00:00,7/14/2016 11:34:45,36562,,11528,11414,425.231525180000006,9190,0,4/1/1980 0:00:00,M,D,6,B,0,2,CN,2530,2598,CN,2531,2599,N,N,N,2530,2599,2032401.999000000068918,6263182.000000000000000,45,92084,92084,CN,CN,3,N,Y,1001,2021,19203,19209,323,325,6263182.000000000000000,2032401.999000000068918,6263189.013000000268221,2032614.884000000078231,6263196.000000000000000,2032827.000000000000000,1,1,10030,10390,E,VISTA,WY,E VISTA WY,E,VISTA,WAY,,E VISTA WAY,425.231314782038226
727,4/1/1980 0:00:00,7/14/2016 11:49:23,43396,,44094,43764,847.634322369999950,10769,0,4/1/1980 0:00:00,M,D,6,B,0,2,CN,17240,17328,CN,17241,17329,N,N,N,17240,17329,1953874.000000000000000,6261118.000000000000000,45,92067,92067,CN,CN,3,N,Y,1002,1001,17106,17106,251,251,6261118.000000000000000,1953874.000000000000000,6261173.593000000342727,1954289.334000000031665,6261300.000000000000000,1954693.000000000000000,1,1,10120,10150,,LOS MORROS,,LOS MORROS,,LOS MORROS,,,LOS MORROS,847.634268806074829
728,4/1/1980 0:00:00,9/3/2024 20:22:14,103115,,1054623,40408,796.026114000000007,32517,0,4/1/1980 0:00:00,M,D,6,B,0,2,EN,700,798,EN,701,799,N,N,N,700,799,1963232.000000000000000,6260362.001000000163913,45,92024,92024,EN,EN,4,N,Y,1001,2015,17104,17111,223,230,6260362.001000000163913,1963232.000000000000000,6260468.497000000439584,1963615.487999999895692,6260575.000000000000000,1963999.000000000000000,1,1,10010,20150,N,RANCHO SANTA FE,RD,N RANCHO SANTA FE RD,N,RANCHO SANTA FE,RD,,N RANCHO SANTA FE RD,784.304417678838035
729,1/10/1996 0:00:00,8/29/2016 9:14:10,140194,,15560,179818,3222.789448240000183,104195,0,1/10/1996 0:00:00,M,D,6,F,0,2,OC,2000,2498,OC,2001,2499,N,N,N,2000,2499,2022720.507999999914318,6219897.103000000119209,50,92058,92058,OC,OC,1,N,Y,1008,1008,18616,18616,10,10,6219897.103000000119209,2022720.507999999914318,6221461.612999999895692,2023102.247999999905005,6223014.332999999634922,2023533.976000000024214,1,1,10080,10080,,SR-76 EB,,SR-76 EB,,STATE ROUTE 76 EB,,,STATE ROUTE 76 EB,3222.789403219760970
